标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
幼儿园,4,2021/9/6,,,,https://movie.douban.com/subject/1761172/
白日美人 / Belle de jour,5,2021/9/4,内心描写太棒了,1967/5/24,法国,https://movie.douban.com/subject/1301649/
少年·小赵 / 少年＊小趙,4,2021/8/29,略逊于铁路沿线，对人物的变化缺少深究。,2015/4/1,中国香港电影节,https://movie.douban.com/subject/26331957/
失控玩家 / Free Guy,4,2021/8/28,,2021/8/10,洛迦诺电影节,https://movie.douban.com/subject/30337388/
北京的星期天 / Dimanche à Pekin,5,2021/8/26,,,,https://movie.douban.com/subject/1466013/
铁路沿线,4,2021/8/25,流浪的人谁又想要流浪呢。火车开过来，停下讲述，等待火车过去的这一幕，太棒了。他们想要倾诉，却没有倾诉的对象。,,,https://movie.douban.com/subject/1421469/
影之花 / 그림자꽃,5,2021/8/19,"感动人心的地方有很多。
1.和家人用文字沟通时，对准手机的摄像头，越来越快的打字速度，不停颤抖的手机。
2.冬奥会冰球馆只想和来自祖国的同胞握一握手却被冰冷的人墙阻隔，一次次冲击也无济于事。
3.好不容易等到双方领导人会谈，一群人围在电视前见证这历史性的时刻，这一刻那不是政治，完全是一个人的真实生活。
4.被有幸抽中可以见亲人的老爷爷，最终却没有一个可以见的人。
5.一个想要回去，一个庆幸从北边逃脱，却成了最好的朋友。(1 有用)",,,https://movie.douban.com/subject/34845784/
火锅,2,2021/8/16,,2021/7/30,FIRST青年电影节,https://movie.douban.com/subject/35521749/
烟火,3,2021/8/16,,2021/7/30,FIRST青年电影展,https://movie.douban.com/subject/35521759/
寻找Noel,2,2021/8/16,,2021/7/30,FIRST青年影展,https://movie.douban.com/subject/35509741/
如果可以,4,2021/8/16,,2021/7/30,FIRST青年电影展,https://movie.douban.com/subject/35521744/
我是传奇 / I Am Legend,3,2021/8/3,三星半。,2007/12/14,美国,https://movie.douban.com/subject/1820156/
误杀,4,2021/7/7,故事很精彩，但比故事更精彩的是编剧的改编。把精妙的误杀案上升到讨论社会舆论，真相与谎言，暴力事件的程度，并且非常巧妙而自然。最后秦沛的镜头画龙点睛，曾经你深信的一个人，一个老实没有任何不好的人，当着面打了你的脸，那你到底还应该相信什么？,2019/12/7,大规模点映,https://movie.douban.com/subject/30176393/
南方车站的聚会,3,2021/7/6,胡歌桂纶镁让人出戏；华丽的美术，离奇的剧情掩盖的是徒有其表。,2019/5/18,戛纳电影节,https://movie.douban.com/subject/27668250/
无间道2 / 無間道II,4,2021/6/22,相较于第一部，确实逊色了不少。最大的问题在于，人物以及人物之间的关系过于复杂了，包括胡军和黄秋生，陈冠希和刘嘉玲，余文乐和吴镇宇。第一部简洁精妙的剧本太难得了。,2003/10/1,中国香港,https://movie.douban.com/subject/1307106/
长城 / The Great Wall,3,2021/6/21,,2016/12/16,中国大陆,https://movie.douban.com/subject/6982558/
杀死比尔 / Kill Bill: Vol. 1,3,2021/6/11,美国人喜欢的武侠；全世界喜欢的暴力美学；配乐倒是真不错。,2003/9/29,好莱坞首映,https://movie.douban.com/subject/1291580/
刺杀 / Assassins,4,2021/6/10,无辜的第三世界国家女性，就连被释放也是国家之间的博弈。(1 有用),2020/1/26,圣丹斯电影节,https://movie.douban.com/subject/34907416/
76天 / 76 Days,4,2021/6/6,闲不住的老大爷，上锁的医院大门，死者留下的身份证，以及新生的婴儿。,2020/9/14,多伦多电影节,https://movie.douban.com/subject/35162122/
喜丧,4,2021/6/2,非专业演员加上过于紧凑的事件点，在前半段会让人觉得电影有些刻意，但越往后就没有了这种感觉。如果电影时长加到150分钟，或许会更好。,2015/12/5,青年导演海上影展,https://movie.douban.com/subject/26671361/
菊豆,4,2021/5/29,懦弱的男人，无助的女人。,1990/4/21,日本,https://movie.douban.com/subject/1299365/
哆啦A梦：伴我同行2 / STAND BY ME ドラえもん2,3,2021/5/29,,2020/11/20,日本,https://movie.douban.com/subject/34913671/
何处是我朋友的家 / خانه دوست کج...,5,2021/5/28,老人与小孩走过小村庄的夜晚，一路上都是美丽的门窗。,1987/2/1,曙光旬电影节,https://movie.douban.com/subject/1301897/
