title,Directors,casts,nation,year,imdbID,douban_url,Rating,Review,WatchedDate
烈焰升腾：黑暗骑士三部曲诞生及影响 / The Fire Rises: The Creat...,,艾恩·贝利 克里斯蒂安·贝尔 迈克尔·凯恩 Nathan Crowley 吉尔莫·德尔·托罗 扎克·施奈德 乔夫·琼斯,美国,2013-09-24(美国),tt3138282,https://movie.douban.com/subject/25926760/,,,2021-09-20
克莱尔的膝盖 / Le genou de Claire,埃里克·侯麦,让-克洛德·布里亚利 Aurora Cornu 碧翠丝·罗曼德 洛朗丝·德莫纳汉,法国,1970-12-11(法国),tt0065772,https://movie.douban.com/subject/1294915/,,,2021-09-20
秋天的故事 / Conte d'automne,埃里克·侯麦,玛丽·里维埃 碧翠丝·罗曼德 艾莉西亚·波特尔 阿兰·利博 迪迪埃·桑德尔 斯特凡·达尔蒙 奥蕾丽雅·阿尔克 马蒂厄·戴夫特 伊夫斯·阿尔克,法国,1998-09-07(威尼斯电影节) 1998-09-23(法国),tt0137439,https://movie.douban.com/subject/1294140/,5,,2021-09-18
夏天的故事 / Conte d'été,埃里克·侯麦,梅尔维尔·珀波 阿曼达·朗格勒 格瑙西蒙 奥蕾莉亚·诺林 Aimé Lefèvre Alain Guellaff Evelyne Lahana Yves Guérin Franck Cabot-David,法国,,tt0115940,https://movie.douban.com/subject/1302675/,5,,2021-09-13
冬天的故事 / Conte d'hiver,埃里克·侯麦,夏洛特·韦里 弗里德里克·范登德里舍 米歇尔·瓦莱蒂 赫尔菲里克 Ava Loraschi Christiane Desbois Rosette Jean-Luc Revol Haydée Caillot 让-克洛德·比埃特 玛丽·里维埃 Claudine Paringaux 罗杰·杜马斯 达尼埃莱·莱布伦 戴安莱夫里耶,法国,1992-01-29(法国),tt0104008,https://movie.douban.com/subject/1293388/,4,,2021-09-01
春天的故事 / Conte de printemps,埃里克·侯麦,Anne Teyssèdre 休格·奎斯特 Florence Darel Eloïse Bennett Sophie Robin,法国,,tt0097106,https://movie.douban.com/subject/1293632/,4,,2021-08-30
失控玩家 / Free Guy,肖恩·利维,瑞安·雷诺兹 朱迪·科默 乔·基瑞 里尔·莱尔·哈瓦瑞 塔伊加·维迪提 乌特卡什·安邦德卡尔 查宁·塔图姆 休·杰克曼 道恩·强森 克里斯·埃文斯 约翰·卡拉辛斯基 蒂娜·菲 卡米尔·科斯塔克 布丽特妮·欧德福特 肯尼斯·以色列 亚历克斯·崔贝克 劳拉·斯宾塞 马修·卡德罗普 迈克尔·陶 野村祐人 Raj Jawa 何塞·冈斯·阿尔维斯 欧文·伯克 加布里埃尔·洛莱斯 雷吉纳·托芬 珍妮尔·费格利 泰特·弗莱彻 香农·哈特曼 金伯利·豪威 Mark Lainer Mike Devine 亚伦·W·里德 Sophie Levy Vernon Scott Naheem Garcia,美国 / 加拿大,2021-08-10(洛迦诺电影节) 2021-08-13(美国) 2021-08-27(中国大陆),tt6264654,https://movie.douban.com/subject/30337388/,3,,2021-08-29
大明宫词,李少红,陈红 归亚蕾 周迅 赵文瑄 傅彪 申军谊 贾妮 刘栋 吴军忱 孙斌 李昊翰 高冬平 李冰冰 杨雨婷,中国大陆,2000-03-30(中国大陆),tt2197774,https://movie.douban.com/subject/2154859/,5,,2021-08-16
我即闪电 / I Am Bolt,盖布·特纳,尤塞恩·博尔特 塞蕾娜·威廉姆斯 齐吉·马利 贝利,英国,2016-11-28(德国),tt4647900,https://movie.douban.com/subject/26889793/,4,动力对于一个人来说是非常重要的存在，非常重要。,2021-08-12
绣春刀,路阳,张震 刘诗诗 王千源 李东学 聂远 金士杰 叶青 周一围 朱丹 赵立新 叶项明,中国大陆,2014-08-07(中国大陆),tt4019426,https://movie.douban.com/subject/24745500/,3,,2021-08-10
傲慢与偏见与僵尸 / Pride and Prejudice and Zombies,布尔·斯蒂尔斯,莉莉·詹姆斯 萨姆·赖利 杰克·休斯顿 贝拉·希思科特 道格拉斯·布斯 马特·史密斯 查尔斯·丹斯 琳娜·海蒂 苏琪·沃特豪斯 艾玛·格林威尔 埃斯林·洛福斯 莎莉·菲利普斯 艾丽·巴姆博 米莉·布拉迪,美国 / 英国,2016-02-05(美国),tt1374989,https://movie.douban.com/subject/3543318/,3,,2021-08-04
中国医生,刘伟强,张涵予 袁泉 朱亚文 李晨 易烊千玺 欧豪 周也 冯文娟 耿乐 梁大维 小爱 雅玫 杨祺如 叶禾 蒋林燕 梅婷 李沁 张天爱 宋佳 俞飞鸿 倪虹洁 冯绍峰 周笔畅 张颂文 张子枫 佟丽娅 谷嘉诚 刘威 刘佳 赵宁宇 王挺 余皑磊 黄璐 印小天 张嘉倪 释小龙 高戈 刘琳 来喜 万国鹏 王昭 石昊正,中国大陆,2021-07-09(中国大陆),tt1369629,https://movie.douban.com/subject/35087699/,1,,2021-07-10
产前阵痛 / Labor Pains,Laura Shapiro,琳赛·洛翰 Connie Britton 克里斯·帕内尔 卢克·柯比 切瑞·海恩斯 凯文·柯威斯,美国,,tt1231287,https://movie.douban.com/subject/3121972/,3,,2021-07-08
天堂电影院 / Nuovo Cinema Paradiso,朱塞佩·托纳多雷,菲利普·努瓦雷 雅克·贝汉 马克·莱昂纳蒂 萨瓦特利·卡西欧 莱奥波多·特里耶斯泰 安东内拉·阿蒂利 恩佐·卡拉瓦勒 艾萨·丹尼埃利 里奥·故罗塔 普佩拉·玛奇奥 阿格妮丝·那诺 塔诺·希玛罗萨 尼古拉·迪·平托 罗伯塔·蕾娜 尼诺·戴罗佐 玛丽娜·朱迪切 比阿特丽斯·帕姆 布丽吉特·佛西 朱塞佩·托纳多雷,意大利 / 法国,1988-11-17(意大利) 2021-06-11(中国大陆),tt0095765,https://movie.douban.com/subject/1291828/,3,中年托托神似恩里克跟穆里尼奥,2021-06-13
